33.7712 -117.4942 6.00 2.00
33.5595 -118.4417 6.00 1.50
34.1433 -117.4748 6.00 2.00
33.9918 -118.1940 6.00 1.00
34.0942 -117.2635 6.00 1.00
34.7745 -118.8143 6.00 2.00
34.1495 -117.5148 6.00 2.00
33.9460 -117.6140 6.00 2.00
33.7702 -118.7972 6.00 2.00
34.0247 -117.3922 21.94 1.50
34.0310 -118.3483 6.00 2.00
33.7370 -118.3810 6.00 1.93
33.7747 -117.5888 6.00 1.92
36.2500 -117.8000 6.00 1.97
34.3540 -118.4845 6.00 1.83
34.0178 -117.9572 6.00 1.68
34.0450 -117.5638 6.00 1.80
34.0902 -117.1827 6.00 1.98
34.0783 -118.0307 6.00 1.26
33.8842 -117.0410 6.00 1.84
34.1323 -117.2428 6.00 1.95
33.8887 -117.9820 6.00 1.42
34.0955 -117.2547 11.42 1.77
33.4897 -118.2805 6.00 1.96
33.9747 -118.1927 6.00 1.96
34.7118 -117.9752 6.00 1.81
33.9842 -118.4410 6.00 1.71
33.7728 -118.1395 6.00 1.86
34.1507 -117.4678 20.00 1.83
34.0782 -118.1003 6.00 1.69
34.5320 -118.7647 6.00 1.97
34.0030 -118.3625 6.00 1.17
34.4393 -118.9840 6.00 1.97
34.0073 -118.4045 6.00 1.64
34.0173 -117.2428 6.00 1.68
33.9808 -118.7955 6.00 1.54
34.3708 -118.4943 6.00 1.37
34.0407 -118.3340 6.00 1.91
36.2167 -117.9167 6.00 2.00
34.2592 -117.6770 6.00 1.70
34.0245 -117.3055 6.00 1.68
33.8862 -117.5983 6.00 1.85
34.2305 -117.1188 6.00 1.52
33.7862 -117.3513 6.00 1.78
36.0962 -117.9335 6.00 1.88
33.7635 -116.3918 6.00 2.00
34.9667 -116.5673 6.00 1.97
34.0792 -117.7650 6.00 1.89
34.2215 -117.5527 6.00 1.52
35.9200 -118.1655 6.00 1.90
33.8600 -117.5265 6.00 1.61
33.6892 -117.4597 6.00 1.76
34.5182 -118.6655 6.00 1.75
34.0303 -118.1893 6.00 1.88
34.0763 -117.1403 6.00 1.82
33.8800 -117.7137 6.00 1.91
34.8043 -116.9340 6.00 1.76
34.5152 -118.1493 6.00 1.24
33.8632 -118.5998 6.00 1.76
34.1720 -117.2702 6.00 1.40
33.7790 -117.0263 6.00 1.97
36.5893 -118.0227 6.00 1.29
33.9448 -118.6217 6.00 1.89
35.8768 -117.0858 6.00 2.00
33.8300 -118.1150 6.00 1.84
34.4038 -118.3715 6.00 1.38
34.3840 -117.4680 6.00 1.87
34.1290 -117.4400 6.00 1.70
33.8357 -118.2665 6.00 1.91
33.4637 -117.8640 6.00 1.74
33.7145 -118.0050 6.00 1.64
33.7567 -118.1012 6.00 1.66
33.7352 -118.2390 6.00 1.70
34.8062 -117.5520 6.00 1.94
33.4428 -117.7775 6.00 1.96
33.5233 -117.7745 6.00 1.87
33.7883 -118.1258 6.00 1.89
33.7805 -118.1543 6.00 1.93
33.7623 -118.0588 6.00 1.87
33.6827 -117.8495 6.00 1.53
33.7665 -117.8822 6.00 1.72
33.7788 -117.8813 6.00 1.57
33.7762 -118.1315 6.00 1.77
33.9220 -118.1192 6.00 1.45
34.6618 -117.5513 6.00 1.72
33.8293 -117.8148 6.00 1.58
33.5418 -118.0667 6.00 1.91
33.9928 -117.8672 6.00 1.49
34.5662 -117.5793 6.00 1.83
34.6335 -117.5555 6.00 1.92
33.7092 -117.9090 6.00 1.91
34.5348 -117.4930 6.00 1.89
33.8382 -118.1423 6.00 1.84
34.6513 -117.7302 6.00 1.52
34.5320 -117.7743 6.00 1.38
33.6170 -117.9482 6.00 1.66
34.0300 -118.5572 6.00 1.76
33.5185 -117.9850 6.00 1.96
33.6707 -117.9800 6.00 1.99
33.8398 -118.0645 6.00 1.29
